省级行政区,个数,地级行政区,县级行政区,景点名称,批次（按公布时间）
,,,雁塔区,大雁塔·大唐芙蓉园景区,2011/1/17
,,,碑林区,城墙·碑林历史文化景区,2018/10/29
,,,新城区,大明宫旅游景区,2020/12/29
,,延安市,黄陵县,黄帝陵景区,2007/05/08[7]
,,,宝塔区,延安革命纪念地景区,2020/01/07[8]
,,,宜川县,黄河壶口瀑布旅游区,2022/7/15
,,,延川县,黄河乾坤湾景区,2024/2/6
,,渭南市,华阴市,华山景区,2011/1/17
,,宝鸡市,扶风县,法门寺佛文化景区,2014/11/28
,,,眉县,太白山旅游景区,2016/11/4
,,商洛市,商南县,金丝峡景区,2015/10/15
,,咸阳市,乾县,乾陵景区,2024/12/27
甘肃省,8,嘉峪关市,,嘉峪关文物景区,2007/05/08[7]
,,平凉市,崆峒区,崆峒山风景名胜区,2007/05/08[7]
,,天水市,麦积区,麦积山景区,2011/1/17
,,酒泉市,敦煌市,鸣沙山月牙泉景区,2015/7/13
,,张掖市,临泽县,七彩丹霞景区,2020/01/07[8]
,,临夏回族自治州,永靖县,炳灵寺世界文化遗产旅游区,2020/12/29
,,陇南市,宕昌县,官鹅沟景区,2022/7/15
,,甘南藏族自治州,临潭县,冶力关旅游区,2024/12/27
青海省,4,海北藏族自治州,刚察县,青海湖景区,2011/9/6
,,,祁连县,阿咪东索景区,2020/12/29
,,西宁市,湟中区,塔尔寺景区,2012/11/6
,,海东市,互助土族自治县,互助土族故土园景区,2017/2/25
宁夏回族自治区,6,石嘴山市,平罗县,沙湖旅游景区,2007/05/08[7]
,,中卫市,沙坡头区,沙坡头旅游景区,2007/05/08[7]
,,银川市,西夏区,镇北堡西部影视城,2011/1/17
,,,灵武市,灵武水洞沟旅游区,2015/7/13
,,吴忠市,青铜峡市,黄河大峡谷旅游区,2024/2/6
,,固原市,隆德县,六盘山红军长征旅游区,2024/12/27
新疆维吾尔自治区,18,昌吉回族自治州,阜康市,新疆天山天池风景名胜区,2007/05/08[7]
,,,奇台县,江布拉克景区,2022/7/15
,,吐鲁番市,高昌区,葡萄沟风景区,2007/05/08[7]
,,阿勒泰地区,布尔津县,喀纳斯景区,2007/05/08[7]
,,,富蕴县,可可托海景区,2012/1/20
,,,哈巴河县,白沙湖景区,2017/2/25
,,伊犁哈萨克自治州,新源县,那拉提旅游风景区,2011/1/17
,,,特克斯县,喀拉峻景区,2016/11/4
,,喀什地区,泽普县,泽普金湖杨景区,2013/10/11
,,,喀什市,喀什噶尔老城景区,2015/7/13
,,,塔什库尔干塔吉克自治县,帕米尔旅游区,2020/01/07[8]
,,乌鲁木齐市,乌鲁木齐县,天山大峡谷景区,2013/12/19
,,巴音郭楞蒙古自治州,博湖县,博斯腾湖景区,2014/11/28
,,,和静县,和静巴音布鲁克景区,2016/11/4
,,克拉玛依市,乌尔禾区,世界魔鬼城景区,2020/12/29
,,博尔塔拉蒙古自治州,博乐市,赛里木湖景区,2021/5/11
,,,阿拉尔市,塔克拉玛干·三五九旅文化旅游区,2021/5/11
,,阿克苏地区,温宿县,天山托木尔景区,2024/12/27
